num-of-cylinders,horsepower,peak-rpm,city-mpg,highway-mpg,price
4,68,4500,33,38,13845
4,88,5500,25,31,12290
4,114,5400,23,28,12940
4,114,5400,23,28,13415
4,114,5400,24,28,15985
4,114,5400,24,28,16515
4,162,5100,17,22,18420
4,162,5100,17,22,18950
4,114,5400,23,28,16845
4,160,5300,19,25,19045
6,134,5500,18,23,21485
6,106,4800,26,27,22470
4,114,5400,19,25,22625
